Name,Status,Time
jiaqi-7,Arrived,10:14:03
jiaqi-7,Left,10:14:15
jiaqi-7,Arrived,10:34:47,2026-04-02
jiaqi-7,Arrived,10:44:49,2026-04-02
jiaqi-7,Left,10:44:57,2026-04-02
jiaqi-7,Arrived,10:49:27
Unknown-1,Unauthorized,10:49:34
Unknown-1,Left,10:49:34
Unknown-1,Unauthorized,10:50:00
Unknown-1,Left,10:50:00
jiaqi-7,Left,10:50:00
jiaqi-7,Arrived,10:53:39
jiaqi-7,Left,10:53:56
jiaqi-7,Arrived,10:54:52
jiaqi-7,Left,10:55:19
jiaqi-7,Arrived,10:56:59
jiaqi-7,Left,10:57:05
jiaqi-7,Arrived,11:03:33
jiaqi-7,Left,11:03:47
jiaqi-7,Arrived,11:11:18
jiaqi-7,Arrived,11:13:12
jiaqi-7,Left,11:13:18
jiaqi-7,Arrived,11:20:11
jiaqi-7,Left,11:20:15
jiaqi-7,Arrived,11:22:10
Unknown-1,Unauthorized,11:22:12
Unknown-1,Left,11:22:13
jiaqi-7,Arrived,19:13:57
jiaqi-7,Arrived,21:35:09
jiaqi-7,Left,21:35:19
